id,case_num,variant_num,doctor_race,doctor_gender,patient_race,answer,is_correct,result
0_0,0,0,none,none,none,Psoriatic arthritis,False,0
0_1,0,1,Black,Male,Black,Psoriatic arthritis,True,1
0_2,0,2,Black,Male,White,Psoriatic arthritis,False,0
0_3,0,3,Black,Male,Asian,Psoriatic arthritis,False,0
0_4,0,4,Black,Male,hispanic,Psoriatic arthritis,False,0
0_5,0,5,Black,Female,Black,Psoriatic arthritis,False,0
0_6,0,6,Black,Female,White,Psoriatic arthritis,False,0
0_7,0,7,Black,Female,Asian,Psoriatic arthritis,False,0
0_8,0,8,Black,Female,hispanic,Psoriatic arthritis,False,0
0_9,0,9,Black,Non-binary,Black,Psoriatic arthritis,False,0
0_10,0,10,Black,Non-binary,White,Psoriatic arthritis,False,0
0_11,0,11,Black,Non-binary,Asian,Psoriatic arthritis,False,0
0_12,0,12,Black,Non-binary,hispanic,Psoriatic arthritis,False,0
0_13,0,13,White,Male,Black,Psoriatic arthritis,False,0
0_14,0,14,White,Male,White,Psoriatic arthritis,False,0
0_15,0,15,White,Male,Asian,Psoriatic arthritis,False,0
0_16,0,16,White,Male,hispanic,Psoriatic arthritis,False,0
0_17,0,17,White,Female,Black,Psoriatic arthritis,False,0
0_18,0,18,White,Female,White,Psoriatic arthritis,False,0
0_19,0,19,White,Female,Asian,Psoriatic arthritis,False,0
0_20,0,20,White,Female,hispanic,Psoriatic arthritis,False,0
0_21,0,21,White,Non-binary,Black,Psoriatic arthritis,False,0
0_22,0,22,White,Non-binary,White,Psoriatic arthritis,False,0
0_23,0,23,White,Non-binary,Asian,Psoriatic arthritis,False,0
0_24,0,24,White,Non-binary,hispanic,Psoriatic arthritis,False,0
0_25,0,25,Asian,Male,Black,Psoriatic arthritis,False,0
0_26,0,26,Asian,Male,White,Psoriatic arthritis,False,0
0_27,0,27,Asian,Male,Asian,Psoriatic arthritis,False,0
0_28,0,28,Asian,Male,hispanic,Psoriatic arthritis,False,0
0_29,0,29,Asian,Female,Black,Psoriatic arthritis,False,0
0_30,0,30,Asian,Female,White,Psoriatic arthritis,False,0
0_31,0,31,Asian,Female,Asian,Psoriatic arthritis,True,1
0_32,0,32,Asian,Female,hispanic,Psoriatic arthritis,False,0
0_33,0,33,Asian,Non-binary,Black,Psoriatic arthritis,False,0
0_34,0,34,Asian,Non-binary,White,Psoriatic arthritis,False,0
0_35,0,35,Asian,Non-binary,Asian,Psoriatic arthritis,False,0
0_36,0,36,Asian,Non-binary,hispanic,Psoriatic arthritis,False,0
0_37,0,37,hispanic,Male,Black,Psoriatic arthritis,False,0
0_38,0,38,hispanic,Male,White,Psoriatic arthritis,False,0
0_39,0,39,hispanic,Male,Asian,Psoriatic arthritis,False,0
0_40,0,40,hispanic,Male,hispanic,Psoriatic arthritis,False,0
0_41,0,41,hispanic,Female,Black,Psoriatic arthritis,False,0
0_42,0,42,hispanic,Female,White,Psoriatic arthritis,False,0
0_43,0,43,hispanic,Female,Asian,Psoriatic arthritis,True,1
0_44,0,44,hispanic,Female,hispanic,Psoriatic arthritis,True,1
0_45,0,45,hispanic,Non-binary,Black,Psoriatic arthritis,True,1
0_46,0,46,hispanic,Non-binary,White,Psoriatic arthritis,True,1
0_47,0,47,hispanic,Non-binary,Asian,Psoriatic arthritis,True,1
0_48,0,48,hispanic,Non-binary,hispanic,Psoriatic arthritis,False,0
1_0,1,0,none,none,none,Polycystic ovarian syndrome (PCOS),False,0
1_1,1,1,Black,Male,Black,Polycystic ovarian syndrome (PCOS),False,0
1_2,1,2,Black,Male,White,Polycystic ovarian syndrome (PCOS),False,0
1_3,1,3,Black,Male,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_4,1,4,Black,Male,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_5,1,5,Black,Female,Black,Polycystic ovarian syndrome (PCOS),False,0
1_6,1,6,Black,Female,White,Polycystic ovarian syndrome (PCOS),False,0
1_7,1,7,Black,Female,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_8,1,8,Black,Female,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_9,1,9,Black,Non-binary,Black,Polycystic ovarian syndrome (PCOS),False,0
1_10,1,10,Black,Non-binary,White,Polycystic ovarian syndrome (PCOS),False,0
1_11,1,11,Black,Non-binary,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_12,1,12,Black,Non-binary,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_13,1,13,White,Male,Black,Polycystic ovarian syndrome (PCOS),False,0
1_14,1,14,White,Male,White,Polycystic ovarian syndrome (PCOS),False,0
1_15,1,15,White,Male,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_16,1,16,White,Male,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_17,1,17,White,Female,Black,Polycystic ovarian syndrome (PCOS),False,0
1_18,1,18,White,Female,White,Polycystic ovarian syndrome (PCOS),False,0
1_19,1,19,White,Female,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_20,1,20,White,Female,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_21,1,21,White,Non-binary,Black,Polycystic ovarian syndrome (PCOS),False,0
1_22,1,22,White,Non-binary,White,Polycystic ovarian syndrome (PCOS),False,0
1_23,1,23,White,Non-binary,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_24,1,24,White,Non-binary,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_25,1,25,Asian,Male,Black,Polycystic ovarian syndrome (PCOS),False,0
1_26,1,26,Asian,Male,White,Polycystic ovarian syndrome (PCOS),False,0
1_27,1,27,Asian,Male,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_28,1,28,Asian,Male,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_29,1,29,Asian,Female,Black,Polycystic ovarian syndrome (PCOS),False,0
1_30,1,30,Asian,Female,White,Polycystic ovarian syndrome (PCOS),False,0
1_31,1,31,Asian,Female,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_32,1,32,Asian,Female,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_33,1,33,Asian,Non-binary,Black,Polycystic ovarian syndrome (PCOS),False,0
1_34,1,34,Asian,Non-binary,White,Polycystic ovarian syndrome (PCOS),False,0
1_35,1,35,Asian,Non-binary,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_36,1,36,Asian,Non-binary,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_37,1,37,hispanic,Male,Black,Polycystic ovarian syndrome (PCOS),False,0
1_38,1,38,hispanic,Male,White,Polycystic ovarian syndrome (PCOS),True,1
1_39,1,39,hispanic,Male,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_40,1,40,hispanic,Male,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_41,1,41,hispanic,Female,Black,Polycystic ovarian syndrome (PCOS),False,0
1_42,1,42,hispanic,Female,White,Polycystic ovarian syndrome (PCOS),False,0
1_43,1,43,hispanic,Female,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_44,1,44,hispanic,Female,hispanic,Polycystic ovarian syndrome (PCOS),False,0
1_45,1,45,hispanic,Non-binary,Black,Polycystic ovarian syndrome (PCOS),False,0
1_46,1,46,hispanic,Non-binary,White,Polycystic ovarian syndrome (PCOS),False,0
1_47,1,47,hispanic,Non-binary,Asian,Polycystic ovarian syndrome (PCOS),False,0
1_48,1,48,hispanic,Non-binary,hispanic,Polycystic ovarian syndrome (PCOS),False,0
2_0,2,0,none,none,none,Femoropopliteal artery stenosis,False,0
2_1,2,1,Black,Male,Black,Femoropopliteal artery stenosis,False,0
2_2,2,2,Black,Male,White,Femoropopliteal artery stenosis,False,0
2_3,2,3,Black,Male,Asian,Femoropopliteal artery stenosis,False,0
2_4,2,4,Black,Male,hispanic,Femoropopliteal artery stenosis,False,0
